Index	Distance[?m]	Time[s]	Velocity[?m/s]
1	1,929005	2,115	0,912059
2	0,575317	0,403	1,427587
3	0,477159	1,914	0,249299
4	0,61349	1,209	0,507436
5	0,781048	0,806	0,969042
6	0,686067	0,604	1,135873
7	0,754396	0,706	1,068549
8	2,698823	2,921	0,923938
9	1,434818	1,31	1,095281
10	1,434818	1,31	1,095281
11	0,683246	0,504	1,355648
12	2,391363	3,023	0,745268
13	0,478273	0,503	0,95084
14	0,617684	0,604	1,022656
15	0,411789	1,209	0,192053
16	0,203718	1,007	0,202302
17	1,812894	2,015	0,8997
18	1,299811	1,209	1,075113
19	0,6157	0,201	3,063184
20	0,513083	0,403	1,27316
21	2,075726	2,216	0,936699
22	1,904617	1,712	1,11251
23	0,342718	0,302	1,134829
24	1,269254	1,209	1,049838
25	0,754691	0,705	1,070484
26	0,684111	2,216	0,308714
27	1,589467	1,612	0,986021
28	0,748092	0,806	0,928153
29	1,226622	2,317	0,529401
30	0,412742	0,705	0,585449
31	0,846385	0,907	0,93317
32	1,35812	1,511	0,898822
33	1,426026	1,814	0,786123
34	5,958163	12,19	0,488775
35	0,855139	1,007	0,849195
36	0,92355	1,31	0,705
37	4,376448	9,067	0,469729
38	1,131594	1,309	0,864472
39	0,822524	0,906	0,907863
40	0,548349	0,605	0,906362
41	0,576493	0,503	1,14611
42	1,601106	1,712	0,935226
43	1,328577	1,914	0,694137
44	0,855771	1,008	0,848979
45	1,266541	1,209	1,047594
46	0,479232	0,302	1,58686
47	0,479232	0,201	2,384238
48	0,547694	0,403	1,359041
49	0,479232	0,302	1,58686
50	0,95396	0,806	1,183573
51	0,857615	0,706	1,214752
52	0,237482	2,619	0,090676
53	0,780297	1,108	0,704239
54	0,685436	0,806	0,850417
55	0,618295	1,31	0,471981
56	1,029313	1,31	0,785735
57	0,964327	3,022	0,319102
58	1,584252	1,813	0,873829
59	0,619925	1,007	0,615615
60	1,295145	1,411	0,917892
61	1,166737	1,713	0,681107
62	0,857895	0,806	1,064385
63	0,614678	4,03	0,143535
64	0,717767	0,907	0,791364
65	0,135278	4,534	0,029836
66	0,751205	2,216	0,338991
67	0,343042	0,403	0,85122
68	0,068632	2,72	0,025232
69	0,652	2,619	0,24895
70	0,343158	0,705	0,486749
71	0,617684	0,806	0,766358
72	0,615961	0,403	1,528439
73	0,649906	1,209	0,537556
74	0,239439	1,209	0,198047
75	0,547289	0,302	1,812215
76	0,649906	0,202	3,217354
77	0,855501	1,008	0,848712
78	0,342201	0,705	0,485391
79	2,108683	2,216	0,951572
80	0,68022	0,705	0,964852
81	2,074672	2,317	0,895413
82	0,884287	0,705	1,254307
83	1,156375	1,209	0,956472
84	0,756741	2,318	0,25063
85	1,865126	1,914	0,974465
86	2,71291	2,821	0,961684
87	0,678228	0,605	1,121037
88	2,336401	1,914	1,22069
89	1,74391	1,612	1,08183
90	2,066415	2,216	0,932498
91	0,203031	0,604	0,336144
92	0,611255	0,907	0,67393
93	0,608732	0,402	1,514258
94	0,137589	0,302	0,455594
95	0,994821	1,209	0,822846
96	0,170451	0,403	0,422956
97	0,511354	0,403	1,268868
98	0,409083	1,108	0,369209
99	0,102487	1,511	0,067827
100	1,91309	1,814	1,054625
101	1,672204	2,116	0,790267
102	0,409519	0,403	1,016177
103	1,195681	1,209	0,988984
104	0,582621	0,504	1,155994
105	2,220551	2,518	0,881871
106	0,341623	0,906	0,403176
107	0,067823	0,705	0,096202
108	3,038903	3,324	0,914231
109	0,6829	0,706	0,96728
110	0,996141	1,209	0,823938
111	1,054877	1,209	0,87252
112	0,477019	0,503	0,948349
113	0,725746	0,403	1,800858
114	0,960842	0,806	1,192112
115	1,098105	1,309	0,838889
116	0,785714	4,835	0,101282
117	0,136646	0,705	0,193824
118	2,288818	2,418	0,946575
119	0,444099	0,202	2,19851
120	2,705705	3,224	0,839238
121	0,170807	0,202	0,845581
122	1,69765	1,813	0,936376
123	0,722182	0,806	0,896007
124	1,166737	1,109	1,052062
125	0,857895	0,504	1,702172
126	0,411789	0,302	1,363541
127	2,030309	2,317	0,876266
128	0,964188	1,007	0,957485
129	1,530187	1,612	0,949248
130	0,987562	0,705	1,400798
131	1,135112	1,511	0,751232
132	1,129328	1,209	0,934101
133	0,034272	1,612	0,02126
134	0,308446	0,202	1,526962
135	2,529274	4,131	0,638117
136	0,034179	0,907	0,037684
137	0,775761	3,224	0,193665
138	0,708304	0,805	0,87988
139	2,561157	2,922	0,876508
140	0,409785	0,303	1,352426
141	1,2314	1,208	1,019371
142	0,612509	1,712	0,357774
143	0,068581	3,828	0,017916
144	0,617233	1,108	0,557069
145	0,341266	0,806	0,423407
146	0,101608	1,209	0,084043
147	0,102583	7,556	0,013576
148	1,094218	0,906	1,207746
149	1,128412	1,309	0,862041
150	2,012117	2,115	0,951356
151	0,928907	1,008	0,921534
152	0,550463	1,31	0,420201
153	0,652743	2,116	0,30848
154	0,858873	0,806	1,065599
155	1,334017	1,209	1,103405
156	0,910676	0,806	1,129871
157	1,515371	1,914	0,79173
158	2,316759	3,123	0,741838
159	0,47698	0,302	1,579403
160	2,075348	2,921	0,710492
161	1,394906	5,843	0,173007
162	0,479805	0,705	0,680575
163	0,547521	1,31	0,417955
164	0,654365	0,806	0,811867
165	1,34317	1,209	1,110976
166	0,819548	0,907	0,903581
167	3,47605	3,828	0,908059
168	2,990113	4,936	0,605776
169	1,731637	1,813	0,955122
170	1,296811	1,41	0,919724
171	1,33745	2,015	0,663747
172	0,72037	1,41	0,510901
173	0,994797	1,108	0,897832
174	1,946264	2,317	0,839993
175	1,745223	1,814	0,962085
176	0,817293	1,109	0,736964
177	0,958464	2,518	0,380645
178	1,711542	1,209	1,415668
179	0,753079	0,706	1,066684
180	0,171154	0,303	0,564865
181	4,044968	5,641	0,717066
182	0,447659	5,037	0,088874
183	1,331681	1,511	0,881325
184	0,068291	0,705	0,096867
185	0,307311	0,906	0,339195
186	1,100619	3,324	0,331113
187	1,265189	1,914	0,661019
188	1,157832	1,411	0,820575
189	5,939288	12,29	0,516392
190	0,378788	0,605	0,626096
191	0,307311	4,03	0,076256
192	2,119121	2,72	0,779089
193	1,059561	1,31	0,808825
194	2,333472	2,821	0,827179
195	1,116008	1,209	0,923084
196	1,645047	2,015	0,816401
197	1,325662	1,712	0,774335
198	1,060884	0,906	1,170954
199	2,272728	2,317	0,980893
200	0,929752	1,309	0,710277
201	2,031681	3,324	0,568415
202	1,303527	1,813	0,718989
203	1,741394	2,116	0,822965
204	0,102435	0,705	0,145298
205	0,580465	0,504	1,151716
206	0,580465	0,504	1,151716
207	1,707284	1,612	1,059109
208	1,32952	1,712	0,776589
209	1,683135	2,519	0,668176
210	4,661788	5,44	0,856946
211	0,582723	2,519	0,126266
212	1,232979	1,41	0,874453
213	0,58224	0,604	0,963974
214	0,963311	1,713	0,562353
215	1,765847	2,418	0,77147
216	3,293983	5,541	0,656778
217	2,512936	4,331	0,554791
218	0,068373	1,007	0,067897
219	0,514404	7,354	0,069949
220	1,240448	1,612	0,769509
221	1,574619	2,116	0,744149
222	1,369234	2,317	0,590951
223	1,129618	0,705	1,602295
224	1,163849	0,907	1,283185
225	0,650386	0,201	3,235751
226	0,684617	0,403	1,698801
227	2,957635	3,224	0,917381
228	0,550258	0,504	1,091781
229	0,137111	4,735	0,028957
230	1,542503	1,612	0,956888
231	1,488893	3,224	0,495972
232	1,775688	3,223	0,464538
233	1,156657	0,604	1,914996
234	0,408232	0,403	1,012983
235	0,785794	0,806	0,97493
236	0,754674	0,907	0,832055
237	0,723595	2,015	0,359104
238	0,689138	0,504	1,367337
239	1,657159	1,31	1,265007
240	0,614922	5,138	0,024074
241	0,480258	1,108	0,433446
242	0,98682	0,706	1,397763
243	0,750281	0,907	0,827212
244	1,62334	3,022	0,577878
245	2,077964	2,72	0,763957
246	0,409785	1,208	0,339226
247	1,195207	1,209	0,988591
248	3,237497	3,727	0,86866
249	1,0646	1,31	0,812671
250	0,372409	0,806	0,462046
251	2,623389	3,627	0,723294
252	0,40884	3,728	0,109667
253	1,294659	1,31	0,98829
254	1,056169	1,007	1,048828
255	1,025589	1,209	0,848296
256	1,333266	1,41	0,945579
257	1,338107	1,511	0,885577
258	0,444861	0,403	1,103873
259	0,342201	0,504	0,678969
260	1,266142	1,108	1,142728
261	1,059005	0,806	1,313902
262	0,717059	0,604	1,187184
263	0,375602	0,302	1,243717
264	0,40974	0,403	1,016724
265	0,375595	0,302	1,243691
266	1,676072	1,713	0,978443
267	1,604992	1,612	0,995653
