Index	Distance[?m]	Time[s]	Velocity[?m/s]
1.000000	0.606886	0.101000	6.008771
2.000000	0.533697	0.403000	1.324310
3.000000	0.524874	2.720000	0.192968
4.000000	0.645999	0.302000	2.139070
5.000000	0.575394	0.302000	1.905277
6.000000	1.650195	2.015000	0.818955
7.000000	0.636140	0.302000	2.106425
8.000000	0.375766	0.302000	1.244257
9.000000	1.065129	1.108000	0.961308
10.000000	0.327732	0.100000	3.277320
11.000000	0.745666	0.604000	1.234546
12.000000	1.654494	2.518000	0.657067
13.000000	0.645656	1.209000	0.534041
14.000000	2.663331	2.518000	1.057717
15.000000	0.807070	1.410000	0.572390
16.000000	0.645347	0.705000	0.915386
17.000000	0.845988	0.705000	1.199983
18.000000	1.247260	1.411000	0.883955
19.000000	0.645347	0.806000	0.800679
20.000000	0.524344	0.302000	1.736240
21.000000	3.018326	3.426000	0.881006
22.000000	1.998621	2.317000	0.862590
23.000000	1.679894	1.914000	0.877687
24.000000	0.942379	0.806000	1.169205
25.000000	3.864210	4.030000	0.958861
26.000000	1.024314	1.008000	1.016185
27.000000	1.152145	1.007000	1.144136
28.000000	1.343309	1.611000	0.833835
29.000000	0.815644	0.605000	1.348171
30.000000	0.869944	1.512000	0.575359
31.000000	1.215519	0.604000	2.012449
32.000000	1.185937	1.108000	1.070340
33.000000	0.969855	0.907000	1.069299
34.000000	1.098696	1.008000	1.089976
35.000000	1.104148	1.008000	1.095385
36.000000	0.938048	0.504000	1.861206
37.000000	1.426539	0.705000	2.023460
38.000000	0.601428	0.403000	1.492378
39.000000	1.598261	1.410000	1.133518
40.000000	3.114559	5.642000	0.490934
41.000000	0.936246	1.108000	0.844987
42.000000	2.024098	10.880000	0.186038
43.000000	1.012049	0.705000	1.435531
44.000000	1.024163	0.605000	1.692831
45.000000	0.815644	0.403000	2.023930
46.000000	1.508941	0.604000	2.498246
47.000000	1.529041	1.309000	1.168099
48.000000	1.600687	2.217000	0.722006
49.000000	0.842467	1.411000	0.597071
50.000000	0.860576	0.303000	2.840184
51.000000	1.187974	1.612000	0.736957
52.000000	1.138892	1.108000	1.027881
53.000000	1.089433	1.309000	0.832264
54.000000	2.259565	2.317000	0.975212
55.000000	0.766638	0.906000	0.846179
56.000000	0.322795	0.504000	0.640466
57.000000	1.926401	1.410000	1.366242
58.000000	1.460715	1.208000	1.209201
59.000000	1.306826	0.907000	1.440823
60.000000	0.653413	0.806000	0.810686
61.000000	0.408383	0.302000	1.352262
62.000000	0.980120	0.605000	1.620033
63.000000	2.761664	3.122000	0.884582
64.000000	1.301628	1.008000	1.291298
65.000000	1.144238	1.410000	0.811516
66.000000	1.389432	1.612000	0.861931
67.000000	1.060927	0.806000	1.316287
68.000000	1.550586	1.712000	0.905716
69.000000	1.458974	1.612000	0.905071
70.000000	1.384346	1.511000	0.916179
71.000000	1.262198	0.403000	3.132005
72.000000	1.573787	1.914000	0.822250
73.000000	0.810346	0.705000	1.149427
74.000000	1.134485	1.511000	0.750817
75.000000	1.773970	1.814000	0.977933
76.000000	1.583228	1.813000	0.873264
77.000000	0.930558	0.403000	2.309078
78.000000	0.849640	0.000000	Inf
79.000000	7.211171	10.074000	0.718112
80.000000	1.180081	0.907000	1.301081
81.000000	1.042476	1.007000	1.035229
82.000000	3.047170	2.921000	1.043194
83.000000	0.933234	1.007000	0.926747
84.000000	1.095536	0.705000	1.553952
85.000000	0.775928	1.209000	0.641793
86.000000	0.939281	0.705000	1.332314
87.000000	0.733559	1.209000	0.606749
88.000000	0.874949	0.906000	0.965727
89.000000	1.147232	1.108000	1.035408
90.000000	0.532643	0.403000	1.321696
91.000000	0.572669	1.611000	0.355474
92.000000	0.656219	0.806000	0.814167
93.000000	0.493535	0.303000	1.628830
94.000000	1.086324	0.806000	1.347796
95.000000	0.660078	0.604000	1.092844
96.000000	1.069291	0.906000	1.180233
97.000000	0.822532	0.907000	0.906871
98.000000	0.976193	1.612000	0.605579
99.000000	0.941193	1.108000	0.849452
100.000000	0.449522	0.403000	1.115440
101.000000	1.308958	1.209000	1.082678
102.000000	0.709089	0.604000	1.173988
103.000000	1.257883	1.310000	0.960216
104.000000	1.132515	0.604000	1.875025
105.000000	0.813632	0.806000	1.009468
106.000000	0.939684	0.604000	1.555769
107.000000	0.819293	0.805000	1.017755
108.000000	2.210261	2.216000	0.997410
109.000000	0.774909	0.604000	1.282962
110.000000	5.612155	7.555000	0.742840
111.000000	0.866352	1.411000	0.613999
112.000000	1.220773	1.108000	1.101781
113.000000	0.773156	0.705000	1.096676
114.000000	0.770961	1.209000	0.637685
115.000000	0.892659	1.109000	0.804922
116.000000	1.569306	1.712000	0.916651
117.000000	0.905257	0.806000	1.123147
118.000000	0.822559	0.906000	0.907902
119.000000	1.271181	1.411000	0.900908
120.000000	3.280468	4.029000	0.814214
121.000000	1.430843	1.410000	1.014782
122.000000	0.731369	0.705000	1.037403
123.000000	1.311393	1.108000	1.183568
124.000000	0.696678	0.504000	1.382297
125.000000	0.409810	0.504000	0.813116
126.000000	1.208555	1.309000	0.923266
127.000000	0.570546	0.504000	1.132036
128.000000	0.819621	0.806000	1.016899
129.000000	1.479120	1.713000	0.863468
130.000000	1.353451	1.612000	0.839610
131.000000	0.687598	0.503000	1.366995
132.000000	1.321906	1.209000	1.093388
133.000000	0.608244	0.906000	0.671351
134.000000	0.533315	0.605000	0.881512
135.000000	0.823559	1.108000	0.743285
136.000000	1.811831	2.518000	0.719551
