Index	Distance[?m]	Time[s]	Velocity[?m/s]
1.000000	1.669568	1.410000	1.184091
2.000000	2.919411	2.518000	1.159417
3.000000	0.755612	0.605000	1.248946
4.000000	1.753276	1.511000	1.160342
5.000000	1.100433	1.008000	1.091700
6.000000	3.163746	3.324000	0.951789
7.000000	0.343885	0.403000	0.853314
8.000000	1.055654	0.806000	1.309744
9.000000	3.041409	2.417000	1.258340
10.000000	1.251786	0.806000	1.553084
11.000000	1.685038	1.310000	1.286289
12.000000	0.653382	0.604000	1.081759
13.000000	0.790936	0.806000	0.981311
14.000000	0.652290	1.008000	0.647113
15.000000	0.961269	0.806000	1.192642
16.000000	1.029931	0.403000	2.555661
17.000000	0.652290	0.403000	1.618585
18.000000	0.716842	0.706000	1.015357
19.000000	1.200097	0.806000	1.488954
20.000000	2.207687	1.713000	1.288784
21.000000	4.097232	3.828000	1.070332
22.000000	0.654180	0.705000	0.927915
23.000000	2.652251	2.015000	1.316253
24.000000	0.848809	0.605000	1.402989
25.000000	0.543237	0.303000	1.792863
26.000000	1.052523	0.806000	1.305859
27.000000	3.866860	3.325000	1.162965
28.000000	0.650180	0.403000	1.613350
29.000000	1.026600	0.604000	1.699669
30.000000	0.805446	0.604000	1.333519
31.000000	1.150068	0.806000	1.426883
32.000000	0.913289	3.324000	0.274756
33.000000	0.777987	0.503000	1.546694
34.000000	1.792753	1.410000	1.271456
35.000000	0.956326	0.806000	1.186509
36.000000	0.512317	0.303000	1.690817
37.000000	0.981482	0.705000	1.392172
38.000000	1.772542	1.511000	1.173092
39.000000	2.590638	2.317000	1.118100
40.000000	0.988533	0.806000	1.226468
41.000000	2.283852	2.015000	1.133425
42.000000	1.398032	1.108000	1.261762
43.000000	2.523278	2.015000	1.252247
44.000000	1.500327	1.209000	1.240966
45.000000	1.602622	1.310000	1.223376
46.000000	1.465081	1.310000	1.118383
47.000000	1.512161	1.209000	1.250754
48.000000	0.821066	0.503000	1.632338
49.000000	0.885893	0.605000	1.464286
50.000000	2.523278	2.418000	1.043539
51.000000	1.943606	2.921000	0.665391
52.000000	0.410386	0.201000	2.041723
53.000000	0.649778	0.302000	2.151584
54.000000	0.985100	1.511000	0.651953
55.000000	3.022399	2.720000	1.111176
56.000000	0.961672	0.705000	1.364074
57.000000	0.810597	0.403000	2.011407
58.000000	0.472848	0.605000	0.781568
59.000000	1.618215	1.309000	1.236222
60.000000	0.842820	0.504000	1.672262
61.000000	0.539405	0.403000	1.338474
62.000000	1.348512	1.008000	1.337810
63.000000	0.580283	0.604000	0.960734
64.000000	0.921626	0.805000	1.144877
65.000000	0.682686	0.605000	1.128407
